,id,name,total_product
0,18802,Samsung,141.0
1,25422,Xiaomi,77.0
2,25643,OPPO,57.0
3,52232,Vivo,43.0
4,19673,Nokia,31.0
5,162007,Tecno,17.0
6,247549,Realme,14.0
7,229213,Bphone,8.0
8,17827,Apple,6.0
9,112735,Oukitel,5.0
10,49994,ZTE,5.0
11,198543,Nubia,4.0
12,27932,TCL,3.0
13,111684,Itel,2.0
14,112638,Masstel,2.0
15,4960305,Sugar,2.0
16,169013,Ulefone,2.0
17,257333,Vsmart,2.0
18,233903,Black Shark,1.0
19,725567,DXD,1.0
20,27468,OnePlus,1.0
21,7355445,Redmagic,1.0
