,id,name
0,Xanh,Xanh
1,Đen,Đen
2,Xanh dương,Xanh dương
3,Xám,Xám
4,Tím,Tím
5,Xanh lá,Xanh lá
6,Trắng,Trắng
7,Vàng,Vàng
8,Bạc,Bạc
9,Cam,Cam
10,Hồng,Hồng
11,Đỏ,Đỏ
12,Nâu,Nâu
13,Kem,Kem
