,product_id,product_detail_id,seller_id,rating_1,rating_2,rating_3,rating_4,rating_5
0,170581659,170581663,1,0,0,0,1,9
1,170581659,170581661,1,0,0,0,1,6
2,170581659,170581666,1,0,0,0,0,3
3,170581659,170581663,1,0,0,0,1,15
4,170581659,170581661,1,0,0,0,1,11
5,170581659,170581666,1,0,0,1,1,10
6,170581659,170581663,1,0,0,0,2,21
7,170581659,170581661,1,0,0,0,3,17
8,170581659,170581666,1,0,0,1,1,15
9,170581659,170581663,1,0,0,0,3,29
10,170581659,170581661,1,0,0,0,4,23
11,170581659,170581666,1,0,0,1,1,19
12,170581659,170581663,1,0,0,0,3,29
13,170581659,170581661,1,0,0,0,4,23
14,170581659,170581666,1,0,0,2,1,19
15,120450353,126022664,1,1,0,0,1,6
16,120450353,126022663,1,1,0,0,1,9
17,120450353,126022665,1,0,0,0,0,1
18,120450353,126022664,1,1,1,0,2,12
19,120450353,126022663,1,1,0,0,4,18
20,120450353,126022665,1,0,0,0,0,1
21,120450353,126022664,1,2,1,0,4,16
22,120450353,126022663,1,1,0,0,4,28
23,120450353,126022665,1,0,1,0,0,3
24,120450353,126022664,1,2,1,0,5,25
25,120450353,126022663,1,1,0,0,4,38
26,120450353,126022665,1,0,1,0,0,3
27,120450353,126022664,1,2,1,0,6,33
28,120450353,126022663,1,1,0,0,5,47
29,120450353,126022665,1,0,1,0,0,4
30,120450353,126022664,1,2,1,0,7,34
31,120450353,126022663,1,1,0,0,5,57
32,120450353,126022665,1,0,1,0,0,12
33,120450353,126022664,1,2,1,0,7,37
34,120450353,126022663,1,1,0,0,5,60
35,120450353,126022665,1,0,1,0,0,12
36,120450353,120789771,29952,0,0,0,2,7
37,120450353,120789769,29952,1,0,0,2,8
38,120450353,120789771,29952,0,0,0,2,8
39,120450353,120789769,29952,1,0,0,2,12
40,120450353,120450355,162514,0,0,0,0,8
41,120450353,120450359,162514,1,0,0,3,8
42,120450353,120450355,162514,0,0,0,1,19
43,120450353,120450359,162514,1,0,0,4,15
44,120450353,120450355,162514,0,0,0,2,21
45,120450353,120450359,162514,1,0,0,4,19
46,120450353,120450357,162514,0,0,0,0,1
47,128865871,128865873,20704,1,0,0,1,10
48,128865871,128865875,20704,1,0,0,1,5
49,128865871,128865877,20704,0,0,0,1,0
50,128865871,128865873,20704,1,0,0,1,19
51,128865871,128865875,20704,1,0,0,3,12
52,128865871,128865877,20704,0,0,0,2,1
53,128865871,128865873,20704,1,0,0,2,28
54,128865871,128865875,20704,1,0,0,3,21
55,128865871,128865877,20704,0,0,0,2,2
56,128865871,128865873,20704,1,0,0,3,37
57,128865871,128865875,20704,1,0,0,4,28
58,128865871,128865877,20704,0,0,0,2,4
59,128865871,128865873,20704,1,0,0,4,45
60,128865871,128865875,20704,1,0,1,4,38
61,128865871,128865877,20704,0,0,0,2,4
62,128865871,128865873,20704,1,0,0,5,52
63,128865871,128865875,20704,1,0,1,6,45
64,128865871,128865877,20704,0,0,0,2,7
65,128865871,128865873,20704,1,0,0,7,57
66,128865871,128865875,20704,1,0,1,9,53
67,128865871,128865877,20704,0,0,0,2,9
68,128865871,128865873,20704,1,0,0,8,64
69,128865871,128865875,20704,1,0,1,9,62
70,128865871,128865877,20704,0,0,0,2,12
71,128865871,128865873,20704,1,0,0,8,73
72,128865871,128865875,20704,1,0,1,9,69
73,128865871,128865877,20704,0,0,0,2,16
74,128865871,128865873,20704,1,0,0,10,78
75,128865871,128865875,20704,1,0,1,10,78
76,128865871,128865877,20704,0,0,0,2,19
77,128865871,128865873,20704,1,0,0,11,89
78,128865871,128865875,20704,1,0,1,10,83
79,128865871,128865877,20704,0,0,0,3,21
80,128865871,128865873,20704,2,0,0,11,93
81,128865871,128865875,20704,1,0,1,10,83
82,128865871,128865877,20704,0,0,0,3,22
83,194034217,194034219,1,0,0,0,0,1
84,88100671,93722331,1,2,0,1,1,5
85,88100671,93722335,1,0,0,0,3,6
86,88100671,93722332,1,0,0,0,0,2
87,88100671,93722331,1,2,0,2,1,10
88,88100671,93722335,1,0,2,0,5,15
89,88100671,93722332,1,0,0,0,0,3
90,88100671,93722331,1,2,0,2,3,17
91,88100671,93722335,1,0,2,0,7,24
92,88100671,93722332,1,0,0,0,0,3
93,88100671,93722331,1,2,0,2,4,24
94,88100671,93722335,1,0,2,0,9,34
95,88100671,93722332,1,0,0,0,0,3
96,88100671,93722331,1,2,0,2,4,30
97,88100671,93722335,1,0,2,0,10,46
98,88100671,93722332,1,0,0,0,0,4
99,88100671,93722331,1,2,0,2,4,31
100,88100671,93722335,1,0,2,0,11,51
101,88100671,93722332,1,0,0,0,0,5
102,88100671,89646375,29952,0,0,0,0,10
103,88100671,89646377,29952,0,0,0,0,4
104,88100671,89646376,29952,0,0,1,1,4
105,88100671,89646375,29952,0,0,0,0,19
106,88100671,89646377,29952,0,0,0,0,8
107,88100671,89646376,29952,0,0,1,1,10
108,88100671,89646378,29952,0,0,0,0,1
109,88100671,89646375,29952,0,0,1,0,26
110,88100671,89646377,29952,0,0,0,1,10
111,88100671,89646376,29952,0,0,1,1,17
112,88100671,89646378,29952,0,0,0,0,3
113,88100671,89646375,29952,0,0,1,2,31
114,88100671,89646377,29952,0,0,0,1,13
115,88100671,89646376,29952,0,0,1,2,26
116,88100671,89646378,29952,0,0,0,0,3
117,88100671,89646375,29952,0,0,1,2,40
118,88100671,89646377,29952,0,0,0,2,16
119,88100671,89646376,29952,0,0,1,2,33
120,88100671,89646378,29952,0,0,0,0,3
121,88100671,89646375,29952,0,0,1,2,45
122,88100671,89646377,29952,0,0,0,2,18
123,88100671,89646376,29952,0,0,1,4,37
124,88100671,89646378,29952,0,0,0,0,3
125,88100671,100931431,162514,0,0,0,2,1
126,88100671,100931427,162514,1,0,0,0,2
