,id,name,number
0,154572,4GB,4.0
1,165107,8GB,8.0
2,154574,3GB,3.0
3,154576,2GB,2.0
4,154556,6GB,6.0
5,154580,1GB,1.0
6,154578,1.5GB,1.5
7,154554,768MB,0.768
8,154560,512MB,0.512
