,id,name
8,17827,Apple
0,18802,Samsung
4,19673,Nokia
1,25422,Xiaomi
2,25643,OPPO
20,27468,OnePlus
12,27932,TCL
10,49994,ZTE
3,52232,Vivo
13,111684,Itel
14,112638,Masstel
9,112735,Oukitel
5,162007,Tecno
16,169013,Ulefone
11,198543,Nubia
7,229213,Bphone
18,233903,Black Shark
6,247549,Realme
17,257333,Vsmart
19,725567,DXD
15,4960305,Sugar
21,7355445,Redmagic
