,id,name
8,Bạc,Bạc
9,Cam,Cam
10,Hồng,Hồng
13,Kem,Kem
12,Nâu,Nâu
6,Trắng,Trắng
4,Tím,Tím
7,Vàng,Vàng
0,Xanh,Xanh
2,Xanh dương,Xanh Dương
5,Xanh lá,Xanh Lá
3,Xám,Xám
1,Đen,Đen
11,Đỏ,Đỏ
